"orthogroup_id","species","gene_id","gene_name","source_column"
"OG0000000","glabrata","CAGL0I10362g","PWP4","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0I10098g","PWP7","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0L13299g","EPA11","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0L10092g","","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0C00253g","","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0I10246g","PWP2","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0C00968g","","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0C01133g","","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0L13332g","EPA13","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0A01284g","EPA10","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0A01366g","EPA9","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0E06688g","","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0K00170g","EPA22","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0C00847g","EPA8","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0L00205g","","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0A00143g","","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0C05687g","","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0J11968g","EPA15","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0E06644g","EPA1","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0C00110g","EPA6","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0I00220g","EPA23","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0E00275g","EPA20","orthogroups.rds:og_id"
"OG0000000","glabrata","CAGL0K13002g","AED2","orthogroups.rds:og_id"
"OG0000000","lactis","KLLA0D00264g","","orthogroups.rds:og_id"
"OG0000000","lactis","KLLA0C19316g","","orthogroups.rds:og_id"
"OG0000000","lactis","KLLA0E14543g","","orthogroups.rds:og_id"
"OG0000000","lactis","KLLA0B00308g","","orthogroups.rds:og_id"
"OG0000000","lactis","KLLA0A11935g","","orthogroups.rds:og_id"
"OG0000000","lactis","KLLA0B14916g","","orthogroups.rds:og_id"
"OG0000001","cerevisiae","YNL318C","HXT14","orthogroups.rds:og_id"
"OG0000001","cerevisiae","YFL011W","HXT10","orthogroups.rds:og_id"
"OG0000001","cerevisiae","YMR011W","HXT2","orthogroups.rds:og_id"
"OG0000001","cerevisiae","YLR081W","GAL2","orthogroups.rds:og_id"
"OG0000001","cerevisiae","YJL214W","HXT8","orthogroups.rds:og_id"
"OG0000001","cerevisiae","YJL219W","HXT9","orthogroups.rds:og_id"
