Chromosome,Position,Reads
CP048230.1,1597,499
CP048230.1,29242,302
CP048230.1,32577,308
CP048230.1,33645,43
CP048230.1,33712,35
CP048230.1,33906,537
CP048230.1,39096,6
CP048230.1,39102,159
CP048230.1,39207,22
CP048230.1,39235,2213
CP048230.1,39241,6
CP048230.1,39242,1434
CP048230.1,39272,2031
CP048230.1,39279,2756
CP048230.1,39283,1522
CP048230.1,39290,538
CP048230.1,39291,448
CP048230.1,39379,18
CP048230.1,39446,61
CP048230.1,39453,392
CP048230.1,39455,763
CP048230.1,39565,450
CP048230.1,39630,468
CP048230.1,39659,74
CP048230.1,39943,496
CP048230.1,40102,1
CP048230.1,40174,47
CP048230.1,42163,319
CP048230.1,42293,1
CP048230.1,42352,1
CP048230.1,42845,1
CP048230.1,42847,1
CP048230.1,43314,1071
CP048230.1,43356,966
CP048230.1,43383,387
CP048230.1,43474,39
CP048230.1,43493,685
CP048230.1,45238,13
CP048230.1,45436,1112
CP048230.1,45889,2
CP048230.1,46889,91
CP048230.1,47272,141
CP048230.1,47445,492
CP048230.1,47452,4
CP048230.1,47456,369
CP048230.1,47635,29
CP048230.1,47835,957
CP048230.1,47976,234
CP048230.1,48014,439
CP048230.1,48033,60
CP048230.1,48134,7
CP048230.1,48224,1241
CP048230.1,48701,1
CP048230.1,48787,5
CP048230.1,48916,148
CP048230.1,48975,152
CP048230.1,49393,272
CP048230.1,50503,318
CP048230.1,50510,1423
CP048230.1,50516,6
CP048230.1,50556,92
CP048230.1,50558,788
CP048230.1,50810,2
CP048230.1,50869,2
CP048230.1,50908,44
CP048230.1,51017,132
CP048230.1,51046,45
CP048230.1,51109,366
CP048230.1,51149,212
CP048230.1,51167,1
CP048230.1,51234,10
CP048230.1,51236,4623
CP048230.1,51243,6961
CP048230.1,51400,181
CP048230.1,51409,261
CP048230.1,51448,9
CP048230.1,51467,1
CP048230.1,51499,533
CP048230.1,51520,172
CP048230.1,51522,10
CP048230.1,51527,145
CP048230.1,51535,75
CP048230.1,51549,871
CP048230.1,51553,1147
CP048230.1,51556,2542
CP048230.1,51563,1045
CP048230.1,51632,219
CP048230.1,51695,125
CP048230.1,51700,1630
CP048230.1,51713,48
CP048230.1,51720,1
CP048230.1,51736,1047
CP048230.1,51764,110
CP048230.1,51772,101
CP048230.1,51889,1127
CP048230.1,52037,3195
CP048230.1,52044,4320
CP048230.1,52067,949
CP048230.1,52074,270
CP048230.1,52239,1
CP048230.1,55274,66
CP048230.1,55281,21
CP048230.1,55357,1
CP048230.1,57022,1
CP048230.1,58835,466
CP048230.1,58837,71
CP048230.1,58849,806
CP048230.1,58933,130
CP048230.1,58940,51
CP048230.1,58977,236
CP048230.1,58981,34
CP048230.1,58997,165
CP048230.1,58998,1
CP048230.1,59007,85
CP048230.1,59046,33
CP048230.1,59129,122
CP048230.1,59140,96
CP048230.1,59145,169
CP048230.1,59283,1
CP048230.1,59369,149
CP048230.1,59457,1
CP048230.1,59578,94
CP048230.1,59643,578
CP048230.1,59719,58
CP048230.1,59794,1
CP048230.1,60145,149
CP048230.1,60435,1
CP048230.1,60531,5
CP048230.1,60934,1
CP048230.1,60957,16
CP048230.1,60981,293
CP048230.1,61053,42
CP048230.1,61088,477
CP048230.1,61095,1
CP048230.1,61106,255
CP048230.1,61110,350
CP048230.1,61112,718
CP048230.1,61113,30
CP048230.1,61114,770
CP048230.1,61119,20
CP048230.1,61121,112
CP048230.1,61147,284
CP048230.1,61148,219
CP048230.1,61151,197
CP048230.1,61154,2
CP048230.1,61158,31
CP048230.1,61160,20
CP048230.1,61255,18
CP048230.1,61361,3
CP048230.1,61368,150
CP048230.1,61369,770
