Chromosome,Position,Reads
CP048230.1,21047,1
CP048230.1,26244,159
CP048230.1,31789,124
CP048230.1,31927,19
CP048230.1,31929,61
CP048230.1,31936,43
CP048230.1,32577,20
CP048230.1,33227,125
CP048230.1,33638,28
CP048230.1,33654,54
CP048230.1,33906,10
CP048230.1,33956,110
CP048230.1,36147,36
CP048230.1,38969,6
CP048230.1,39102,82
CP048230.1,39103,511
CP048230.1,39199,358
CP048230.1,39205,209
CP048230.1,39207,1050
CP048230.1,39216,14
CP048230.1,39231,6
CP048230.1,39235,664
CP048230.1,39241,320
CP048230.1,39242,1413
CP048230.1,39266,298
CP048230.1,39272,4513
CP048230.1,39279,5810
CP048230.1,39283,1078
CP048230.1,39287,118
CP048230.1,39290,274
CP048230.1,39291,59
CP048230.1,39379,168
CP048230.1,39407,437
CP048230.1,39439,89
CP048230.1,39446,244
CP048230.1,39453,211
CP048230.1,39455,187
CP048230.1,39462,272
CP048230.1,39480,3
CP048230.1,39523,133
CP048230.1,39565,65
CP048230.1,39574,750
CP048230.1,39588,405
CP048230.1,39659,66
CP048230.1,39666,1725
CP048230.1,39690,439
CP048230.1,39943,16
CP048230.1,40181,433
CP048230.1,40538,255
CP048230.1,41121,29
CP048230.1,41221,326
CP048230.1,42566,411
CP048230.1,43314,1145
CP048230.1,43321,342
CP048230.1,43356,33
CP048230.1,43450,563
CP048230.1,43493,348
CP048230.1,43515,3
CP048230.1,43522,304
CP048230.1,43786,20
CP048230.1,44773,3
CP048230.1,45436,330
CP048230.1,45443,227
CP048230.1,45472,10
CP048230.1,45518,32
CP048230.1,45889,158
CP048230.1,46032,123
CP048230.1,46041,583
CP048230.1,46394,334
CP048230.1,46910,420
CP048230.1,47272,105
CP048230.1,47445,28
CP048230.1,47452,362
CP048230.1,47521,11
CP048230.1,47700,64
CP048230.1,47835,1118
CP048230.1,47882,35
CP048230.1,47976,544
CP048230.1,48134,28
CP048230.1,48224,347
CP048230.1,48538,2
CP048230.1,48794,19
CP048230.1,48798,282
CP048230.1,48975,996
CP048230.1,49147,551
CP048230.1,49332,1100
CP048230.1,49339,179
CP048230.1,49393,23
CP048230.1,49461,172
CP048230.1,50362,16
CP048230.1,50369,710
CP048230.1,50503,528
CP048230.1,50510,742
CP048230.1,50558,508
CP048230.1,50869,267
CP048230.1,50919,385
CP048230.1,51017,14
CP048230.1,51024,2
CP048230.1,51046,98
CP048230.1,51102,380
CP048230.1,51109,89
CP048230.1,51114,1
CP048230.1,51128,576
CP048230.1,51135,153
CP048230.1,51149,1175
CP048230.1,51156,592
CP048230.1,51160,576
CP048230.1,51172,57
CP048230.1,51236,5347
CP048230.1,51243,6794
CP048230.1,51330,6
CP048230.1,51425,51
CP048230.1,51467,1414
CP048230.1,51473,234
CP048230.1,51482,16
CP048230.1,51499,455
CP048230.1,51512,16
CP048230.1,51513,19
CP048230.1,51519,16
CP048230.1,51529,519
CP048230.1,51535,1413
CP048230.1,51549,2299
CP048230.1,51556,810
CP048230.1,51560,222
CP048230.1,51563,720
CP048230.1,51596,761
CP048230.1,51625,579
CP048230.1,51632,1487
CP048230.1,51653,1
CP048230.1,51658,77
CP048230.1,51675,13
CP048230.1,51700,1274
CP048230.1,51713,730
CP048230.1,51720,796
CP048230.1,51721,445
CP048230.1,51736,2136
CP048230.1,51764,798
CP048230.1,51765,41
CP048230.1,51772,2394
CP048230.1,51882,2
CP048230.1,52037,3041
CP048230.1,52044,3267
CP048230.1,52067,688
CP048230.1,52108,484
CP048230.1,52239,725
CP048230.1,52242,21
CP048230.1,52265,3
CP048230.1,52471,247
CP048230.1,54622,419
CP048230.1,54919,210
CP048230.1,55042,513
CP048230.1,55250,26
CP048230.1,55256,17
CP048230.1,55269,14
CP048230.1,55281,1258
CP048230.1,55347,140
CP048230.1,55350,254
CP048230.1,57014,96
CP048230.1,57022,368
CP048230.1,57086,397
CP048230.1,58830,146
CP048230.1,58837,56
CP048230.1,58845,30
CP048230.1,58940,356
CP048230.1,58977,581
CP048230.1,58981,50
CP048230.1,58984,623
CP048230.1,58996,505
CP048230.1,58999,310
CP048230.1,59007,217
CP048230.1,59014,547
CP048230.1,59046,1047
CP048230.1,59053,682
CP048230.1,59138,22
CP048230.1,59140,315
CP048230.1,59194,152
CP048230.1,59257,7
CP048230.1,59263,392
CP048230.1,59283,83
CP048230.1,59571,150
CP048230.1,59578,464
CP048230.1,59612,28
CP048230.1,59643,68
CP048230.1,59718,83
CP048230.1,59869,114
CP048230.1,60038,419
CP048230.1,60145,24
CP048230.1,60428,12
CP048230.1,60435,2
CP048230.1,60439,263
CP048230.1,60636,27
CP048230.1,60754,3
CP048230.1,60881,8
CP048230.1,60936,2
CP048230.1,60949,244
CP048230.1,60952,184
CP048230.1,60959,12
CP048230.1,60981,184
CP048230.1,61053,316
CP048230.1,61060,11
CP048230.1,61087,19
CP048230.1,61088,538
CP048230.1,61098,16
CP048230.1,61106,241
CP048230.1,61110,374
CP048230.1,61111,79
CP048230.1,61112,234
CP048230.1,61113,446
CP048230.1,61114,327
CP048230.1,61117,43
CP048230.1,61119,282
CP048230.1,61121,93
CP048230.1,61153,231
CP048230.1,61154,6
CP048230.1,61158,188
CP048230.1,61185,42
CP048230.1,61187,260
CP048230.1,61194,1
CP048230.1,61198,149
CP048230.1,61269,274
